Date,Code,weigh,temperature,Humidity(out),PH,Humidity,sum,result
15,B7,0,25,75,7,6,0,fail
16,B7,0,25,75,7,6.5,0,fail
17,B7,0,25,75,7.2,5,0,fail
18,B7,0,25,75,7.2,6.5,0,fail
19,B7,0,25,75,7.2,4.8,0,fail
20,B7,0,25,75,7.2,6.7,0,fail
21,B7,0,25,75,7.2,5.5,0,fail
22,B7,0,25,75,7.2,4.8,0,fail
23,B7,0,25,75,7.2,4.8,0,fail
24,B7,50,25,75,7.2,5.3,80,bad
25,B7,0,25,75,7.3,6.2,0,fail
26,B7,0,25,75,7.3,7,0,fail
27,B7,0,25,75,7.3,4.7,0,fail
28,B7,0,25,75,7.3,7.9,0,fail
29,B7,0,25,75,7.3,8,0,fail
1,B8,0,25,75,7,7,0,fail
2,B8,0,25,75,7,6.5,0,fail
3,B8,0,25,75,7,6.2,0,fail
4,B8,0,25,75,7,7,0,fail
5,B8,0,25,75,7,8,0,fail
6,B8,0,25,75,7,5.8,0,fail
7,B8,0,25,75,7,6,0,fail
8,B8,0,25,75,7,8,0,fail
9,B8,0,25,75,7,8.5,0,fail
10,B8,0,25,75,7,8.8,0,fail
11,B8,0,25,75,7,7,0,fail
12,B8,0,25,75,7,5.5,0,fail
13,B8,0,25,75,7.2,4.8,0,fail
14,B8,0,25,75,7.2,5,0,fail
15,B8,0,25,75,7.2,6.8,0,fail
16,B8,0,25,75,7.2,6.7,0,fail
17,B8,0,25,75,7.2,6.2,0,fail
18,B8,0,25,75,7.2,4.9,0,fail
19,B8,0,25,75,7.2,5.5,0,fail
20,B8,0,25,75,7.2,6.7,0,fail
21,B8,0,25,75,7.2,5.5,0,fail
22,B8,0,25,75,7.2,4.8,0,fail
23,B8,0,25,75,7.3,6,0,fail
24,B8,0,25,75,7.3,6.2,0,fail
25,B8,0,25,75,7.3,6.5,0,fail
26,B8,0,25,75,7.3,4.7,0,fail
27,B8,0,25,75,7.3,7,0,fail
28,B8,0,25,75,7.3,5,0,fail
29,B8,0,25,75,7.3,4.7,0,fail
1,B9,0,25,75,6.8,9,0,fail
2,B9,0,25,75,6.8,9.2,0,fail
3,B9,0,25,75,6.8,9.5,0,fail
4,B9,30,25,75,6.8,4.5,30,bad
5,B9,0,25,75,7,8,0,fail
6,B9,0,25,75,7,7.2,0,fail
7,B9,0,25,75,7,8.5,0,fail
8,B9,0,25,75,7,8.8,0,fail
9,B9,0,25,75,7,9,0,fail
10,B9,0,25,75,7,7.5,0,fail
11,B9,0,25,75,7,7,0,fail
12,B9,0,25,75,7,6.5,0,fail
13,B9,0,25,75,7,7,0,fail
14,B9,0,25,75,7,7.2,0,fail
15,B9,0,25,75,7,8,0,fail
16,B9,0,25,75,7,8.2,0,fail
17,B9,0,25,75,7,7.8,0,fail
18,B9,0,25,75,7,6.5,0,fail
19,B9,0,25,75,7,5,0,fail
20,B9,0,25,75,7,5.8,0,fail
21,B9,0,25,75,7,6,0,fail
22,B9,0,25,75,7,7,0,fail
23,B9,140,25,75,7,9.8,170,over
24,B9,0,25,75,7.2,6.5,0,fail
25,B9,0,25,75,7.2,6.2,0,fail
26,B9,0,25,75,7.2,7,0,fail
27,B9,0,25,75,7.2,4.7,0,fail
28,B9,0,25,75,7.2,7.9,0,fail
29,B9,0,25,75,7.2,8,0,fail
1,B10,0,25,75,6.8,9,0,fail
2,B10,0,25,75,6.8,9.2,0,fail
3,B10,0,25,75,6.8,9.5,0,fail
4,B10,70,25,75,7,8,70,normal
5,B10,0,25,75,7,7.8,0,fail
6,B10,0,25,75,7,7,0,fail
7,B10,0,25,75,7,6.5,0,fail
8,B10,0,25,75,7,7.5,0,fail
9,B10,0,25,75,7,8,0,fail
10,B10,0,25,75,7,8.2,0,fail
11,B10,0,25,75,7,8.5,0,fail
12,B10,0,25,75,7,7.2,0,fail
13,B10,0,25,75,7,7,0,fail
14,B10,0,25,75,7,7.8,0,fail
15,B10,0,25,75,7,8,0,fail
16,B10,0,25,75,7,8.2,0,fail
17,B10,0,25,75,7,7.8,0,fail
18,B10,0,25,75,7,6.5,0,fail
19,B10,0,25,75,7,5,0,fail
20,B10,0,25,75,7,5.8,0,fail
21,B10,0,25,75,7,6,0,fail
22,B10,0,25,75,7,7,0,fail
23,B10,0,25,75,7,9.8,0,fail
24,B10,10,25,75,7.2,3.8,80,very bad
25,B10,0,25,75,7.2,6.2,0,fail
26,B10,0,25,75,7.2,7,0,fail
27,B10,0,25,75,7.2,4.7,0,fail
28,B10,0,25,75,7.2,7.9,0,fail
29,B10,135,25,75,7.2,9.5,215,over
1,B11,0,25,75,7,4,0,fail
2,B11,0,25,75,7,5.5,0,fail
3,B11,0,25,75,7,5,0,fail
4,B11,80,25,75,7,7.5,80,good
5,B11,0,25,75,7,7,0,fail
6,B11,0,25,75,7,7.2,0,fail
